student_id,points
1,17.0/24
2,12.0/24
3,13.0/24
4,17.0/24
5,17.0/24
6,15.5/24
7,7.0/24
8,18.0/24
9,12.0/24
10,17.0/24
11,12.5/24
12,16.5/24
13,19.5/24
14,13.5/24
15,14.0/24
16,14.0/24
17,15.5/24
18,12.0/24
19,22.0/24
20,18.0/24
21,16.0/24
22,23.5/24
23,18.0/24
24,16.0/24
25,13.0/24
26,9.5/24
27,20.5/24
28,12.5/24
29,17.0/24
30,16.5/24
31,20.5/24
32,17.5/24
33,20.5/24
34,13.5/24
35,20.0/24
36,22.0/24
37,13.0/24
38,13.0/24
39,14.0/24
40,12.0/24
41,17.5/24
42,13.5/24
43,13.5/24
44,13.0/24
45,20.5/24
46,22.0/24
47,13.5/24
48,6.0/24
49,18.0/24
50,14.0/24
51,8.5/24
52,9.0/24
53,13.5/24
54,14.0/24
55,8.5/24
56,19.5/24
57,15.5/24
58,11.5/24
59,18.5/24
60,19.5/24
61,13.0/24
62,12.5/24
63,19.5/24
64,13.0/24
65,21.5/24
66,12.5/24
67,5.0/24
68,20.0/24
69,24.0/24
70,0.0/100
71,13.5/24
72,9.5/24
73,17.5/24
74,16.5/24
75,15.0/24
76,16.5/24
77,16.5/24
78,23.0/24
79,15.5/24
80,20.5/24
81,12.5/24
82,0.5/24
83,12.0/24
84,16.0/24
85,16.0/24
86,14.0/24
87,9.0/24
88,17.0/24
89,12.5/24
90,13.5/24
91,12.0/24
92,15.5/24
93,23.5/24
94,13.0/24
95,19.5/24
96,14.5/24
97,14.5/24
98,15.0/24
99,20.5/24
100,11.0/24
101,12.0/24
102,22.5/24
103,0.0/24
104,12.5/24
105,16.5/24
106,13.5/24
107,18.5/24
108,14.5/24
109,15.5/24
110,13.0/24
111,18.5/24
112,13.5/24
113,14.5/24
114,13.0/24
115,13.5/24
116,15.5/24
117,21.0/24
118,15.5/24
119,16.0/24
120,14.5/24
121,14.5/24
122,22.0/24
123,17.5/24
124,12.0/24
125,16.0/24
126,19.5/24
127,16.5/24
128,13.0/24
129,18.0/24
130,14.0/24
131,17.0/24
132,23.0/24
133,15.5/24
134,21.0/24
135,15.5/24
136,17.0/24
137,17.0/24
138,19.5/24
139,15.5/24
140,9.5/24
141,16.5/24
142,18.5/24
143,13.5/24
144,15.5/24
145,13.0/24
146,14.0/24
147,13.5/24
148,17.0/24
149,2.0/24
150,22.5/24
151,13.5/24
152,15.0/24
153,14.0/24
154,16.0/24
155,19.5/24
156,16.5/24
157,10.5/24
158,17.5/24
159,10.5/50
160,15.5/24
161,13.0/24
162,21.5/24
163,20.0/24
164,3.0/24
165,20.0/24
166,13.0/24
167,17.5/24
168,19.0/24
169,15.5/24
170,18.5/24
171,15.5/24
172,11.0/24
173,19.0/24
174,14.0/24
175,14.0/24
176,17.0/24
177,12.0/24
178,3.0/24
179,14.0/24
180,12.5/24
181,12.0/24
182,14.0/24
183,18.5/24
184,13.0/24
185,7.0/24
186,13.0/24
187,4.5/24
188,15.5/24
189,16.0/24
190,18.0/24
191,13.0/24
192,12.5/24
193,14.5/24
194,15.5/24
195,13.5/24
196,19.5/24
197,23.5/24
198,13.0/24
199,22.0/24
200,1.5/24
201,13.5/24
202,22.5/24
203,22.0/24
204,1.5/24
205,12.0/24
206,4.5/24
207,13.5/24
208,12.0/24
209,5.0/24
210,14.5/24
211,13.5/24
212,15.5/24
213,12.0/24
214,14.5/24
215,0.0/24
216,17.5/24
217,19.0/24
218,13.0/24
219,8.0/24
220,9.5/24
221,100/1000
222,16.0/24
223,13.5/24
224,17.0/24
225,16.5/24
226,15.0/24
227,5.5/24
228,16.5/24
229,10.0/24
230,10.0/24
231,15.5/24
232,18.0/24
233,17.0/24
234,21.0/24
235,17.5/24
236,19.5/24
237,24.0/24
238,3.0/24
239,16.0/24
240,12.0/24
241,17.5/24
242,22.0/24
243,15.0/24
244,13.0/24
245,13.5/24
246,20.5/24
247,12.5/24
248,16.5/24
249,16.0/24
250,3.0/24
251,17.0/24
252,17.5/24
253,22.0/24
254,19.5/24
255,20.0/24
256,21.5/24
257,13.5/24
258,17.5/24
259,14.0/24
260,6.5/24
261,20.5/24
262,22.5/24
263,16.5/24
264,16.5/24
265,12.5/24
266,15.0/24
267,16.0/24
268,16.0/24
269,12.5/24
270,17.0/24
271,0.0/24
272,16.5/24
273,19.5/24
274,0.5/24
275,17.5/24
276,12.5/24
277,17.5/24
278,19.0/24
279,17.0/24
280,12.5/24
281,15.0/24
282,16.0/24
283,7.5/24
284,21.0/24
285,14.5/24
286,18.0/24
287,14.0/24
288,5.0/24
289,12.0/24
290,16.5/24
291,13.0/24
292,13.0/24
293,11.0/24
294,20.0/24
295,19.5/24
296,14.5/24
297,20.5/24
298,19.0/24
299,13.5/24
300,14.5/24
301,20.5/24
302,3.5/24
303,14.5/24
304,4.0/24
305,19.5/24
306,16.0/24
307,20.0/24
308,12.5/24
309,14.5/24
310,13.5/24
